Reproduction, 	 Crossover, 	 Mutation, 	 Sigma, 	 Earliest, 	 Average (.25), 	 Standard Deviation (.25), 	 Average (.1), 	 Standard Deviation (.1) 
18, 	 76, 	 10, 	 2, 	 6, 	 24.6, 	 20.78076033257686, 	29.2, 	17.38275007011261
18, 	 76, 	 10, 	 3, 	 7, 	 17.8, 	 10.759182125050211, 	33.2, 	16.0299719276111
18, 	 76, 	 10, 	 4, 	 5, 	 10.2, 	 4.955804677345546, 	22.8, 	16.4851448279959
18, 	 76, 	 10, 	 5, 	 7, 	 8.4, 	 1.8547236990991407, 	26.2, 	15.753094934012173
18, 	 76, 	 15, 	 1, 	 3, 	 9.4, 	 8.475848040166838, 	25.8, 	20.202970078679026
18, 	 76, 	 15, 	 2, 	 2, 	 12, 	 8.07465169527454, 	24.6, 	20.828826179120128
18, 	 76, 	 15, 	 3, 	 7, 	 8, 	 1.0954451150103321, 	17.4, 	16.426807358704856
18, 	 76, 	 15, 	 4, 	 6, 	 12.4, 	 7.227724399837061, 	31, 	19.879637823662684
18, 	 76, 	 15, 	 5, 	 5, 	 6.4, 	 0.8, 	8.8, 	2.3151673805580453
18, 	 82, 	 5, 	 1, 	 1, 	 10.6, 	 9.3936148526539, 	31.6, 	17.281203661782357
18, 	 82, 	 5, 	 2, 	 2, 	 4.6, 	 1.4966629547095767, 	16.2, 	16.939893742287758
18, 	 82, 	 5, 	 3, 	 1, 	 15, 	 17.75387281693772, 	20.6, 	16.977632343763368
18, 	 82, 	 5, 	 4, 	 5, 	 10.2, 	 3.9698866482558417, 	29.8, 	17.29045979724079
18, 	 82, 	 5, 	 5, 	 3, 	 8, 	 3.22490309931942, 	21.2, 	15.6
18, 	 82, 	 10, 	 1, 	 5, 	 7.2, 	 1.3266499161421599, 	23.6, 	14.430523206037957
18, 	 82, 	 10, 	 2, 	 9, 	 17.8, 	 16.117071694324625, 	42, 	16.0
18, 	 82, 	 10, 	 3, 	 3, 	 14, 	 18.05547008526779, 	21.8, 	16.203703280423277
18, 	 82, 	 10, 	 4, 	 7, 	 17, 	 14.7648230602334, 	37.8, 	15.85433694608513
18, 	 82, 	 10, 	 5, 	 4, 	 9.2, 	 4.995998398718719, 	18.8, 	16.191355718407276
18, 	 82, 	 15, 	 1, 	 6, 	 15.4, 	 17.315888657530692, 	27.6, 	18.2931681236466
18, 	 82, 	 15, 	 2, 	 7, 	 15.8, 	 12.749901960407382, 	27, 	18.963122105813696
18, 	 82, 	 15, 	 3, 	 3, 	 13.8, 	 14.770240350109406, 	33.6, 	20.12560558095085
18, 	 82, 	 15, 	 4, 	 5, 	 7.8, 	 3.7094473981982814, 	15.4, 	5.0039984012787215
18, 	 82, 	 15, 	 5, 	 7, 	 8, 	 0.8944271909999159, 	19.2, 	16.029971927611104
