Reproduction, 	 Crossover, 	 Mutation, 	 Sigma, 	 Earliest, 	 Average (.25), 	 Standard Deviation (.25), 	 Average (.1), 	 Standard Deviation (.1) 
0, 	 88, 	 5, 	 5, 	 8, 	 10.8, 	 1.9390719429665317, 	16, 	3.03315017762062
0, 	 88, 	 10, 	 1, 	 4, 	 18, 	 17.58408371226661, 	31.8, 	16.54569430395715
0, 	 88, 	 10, 	 2, 	 7, 	 10.8, 	 2.85657137141714, 	18.2, 	9.239047569960878
0, 	 88, 	 10, 	 3, 	 2, 	 10.2, 	 5.5641710972974225, 	20, 	15.658863304850707
0, 	 88, 	 10, 	 4, 	 3, 	 14.6, 	 9.666436778875658, 	27.8, 	15.367498169838838
0, 	 88, 	 10, 	 5, 	 3, 	 7.6, 	 3.2, 	27.6, 	12.208193969625482
0, 	 88, 	 15, 	 1, 	 4, 	 18.6, 	 16.560193235587562, 	38.8, 	15.380507143784303
0, 	 88, 	 15, 	 2, 	 5, 	 15.6, 	 17.32743489383238, 	31.4, 	17.29277305697383
0, 	 88, 	 15, 	 3, 	 5, 	 11.6, 	 9.748846085563152, 	21.2, 	14.538225476308998
0, 	 88, 	 15, 	 4, 	 5, 	 12.8, 	 11.88949115816148, 	20.2, 	16.749925372968082
0, 	 88, 	 15, 	 5, 	 3, 	 11.8, 	 11.72006825918689, 	18.6, 	15.831613941730641
0, 	 94, 	 5, 	 1, 	 5, 	 7, 	 1.7888543819998317, 	31, 	17.1697408250678
0, 	 94, 	 5, 	 2, 	 5, 	 17.2, 	 16.726027621644057, 	34.2, 	19.374209661299737
0, 	 94, 	 5, 	 3, 	 5, 	 21, 	 19.172897537930986, 	23.4, 	21.322288807724185
0, 	 94, 	 5, 	 4, 	 4, 	 21.6, 	 16.378034070058593, 	40.8, 	18.4
0, 	 94, 	 5, 	 5, 	 3, 	 6.2, 	 2.3151673805580453, 	15.6, 	9.951884243699782
0, 	 94, 	 10, 	 1, 	 5, 	 9.2, 	 4.019950248448356, 	25.2, 	20.262280227062305
0, 	 94, 	 10, 	 2, 	 3, 	 6.2, 	 2.3151673805580453, 	15.2, 	6.241794613730894
0, 	 94, 	 10, 	 3, 	 5, 	 15.6, 	 17.258041603843697, 	25.2, 	13.43726162579266
0, 	 94, 	 10, 	 4, 	 2, 	 9.4, 	 5.3516352641038605, 	27.4, 	18.51053753946654
0, 	 94, 	 10, 	 5, 	 2, 	 7.4, 	 4.715930449020639, 	14.4, 	9.393614852653903
0, 	 94, 	 15, 	 1, 	 3, 	 7.2, 	 2.4819347291981715, 	26.2, 	19.772708463940898
0, 	 94, 	 15, 	 2, 	 8, 	 11.4, 	 2.727636339397171, 	36.4, 	15.47384890710776
0, 	 94, 	 15, 	 3, 	 3, 	 6.8, 	 2.3151673805580453, 	13, 	2.1908902300206643
0, 	 94, 	 15, 	 4, 	 3, 	 6.4, 	 2.6532998322843198, 	11.4, 	3.7202150475476548
0, 	 94, 	 15, 	 5, 	 1, 	 7.6, 	 4.029888335921977, 	14.4, 	5.2
0, 	 100, 	 5, 	 1, 	 4, 	 8.8, 	 4.995998398718719, 	26.8, 	12.82809416865966
0, 	 100, 	 5, 	 2, 	 2, 	 6.6, 	 2.870540018881465, 	25.8, 	19.923855048659636
0, 	 100, 	 5, 	 3, 	 4, 	 8.6, 	 3.1368774282716245, 	30.6, 	16.156732342896568
0, 	 100, 	 5, 	 4, 	 1, 	 7.2, 	 4.4, 	20.6, 	14.122322755127783
0, 	 100, 	 5, 	 5, 	 4, 	 11.6, 	 9.810198774744578, 	17.2, 	16.54569430395715
0, 	 100, 	 10, 	 1, 	 2, 	 18, 	 17.4928556845359, 	26.6, 	19.509997437211517
0, 	 100, 	 10, 	 2, 	 5, 	 14.8, 	 17.634057956125698, 	19.8, 	15.26302722267113
0, 	 100, 	 10, 	 3, 	 4, 	 9.6, 	 5.678027826631356, 	27.8, 	18.787229705307805
0, 	 100, 	 10, 	 4, 	 5, 	 8.8, 	 4.214261501141095, 	20.4, 	15.252540771950095
0, 	 100, 	 10, 	 5, 	 3, 	 7.4, 	 4.963869458396343, 	23.2, 	15.91728620085723
0, 	 100, 	 15, 	 1, 	 8, 	 24.8, 	 20.575713839378697, 	27.4, 	18.478095139921756
0, 	 100, 	 15, 	 2, 	 0, 	 10.2, 	 10.979981785048643, 	17.8, 	17.47455292704223
0, 	 100, 	 15, 	 3, 	 8, 	 12.2, 	 4.791659420284375, 	34.8, 	16.749925372968082
0, 	 100, 	 15, 	 4, 	 6, 	 16, 	 17.052858997833766, 	23, 	15.297058540778355
0, 	 100, 	 15, 	 5, 	 7, 	 9.6, 	 2.1540659228538015, 	16, 	7.014271166700073
6, 	 70, 	 5, 	 1, 	 6, 	 15, 	 10.677078252031311, 	23.6, 	14.540976583434828
6, 	 70, 	 5, 	 2, 	 7, 	 17.6, 	 8.957678270623477, 	38, 	7.402702209328699
6, 	 70, 	 5, 	 3, 	 8, 	 15, 	 5.253570214625479, 	37, 	12.393546707863734
6, 	 70, 	 5, 	 4, 	 5, 	 14.4, 	 9.604165762834375, 	21.2, 	15.011995203836165
6, 	 70, 	 5, 	 5, 	 5, 	 14, 	 6.870225614927067, 	28.8, 	14.4
6, 	 70, 	 10, 	 1, 	 6, 	 25.8, 	 19.923855048659632, 	45, 	10.0
6, 	 70, 	 10, 	 2, 	 8, 	 23.6, 	 15.317963311093287, 	37.4, 	11.92644121270046
6, 	 70, 	 10, 	 3, 	 5, 	 17.2, 	 10.49571341072154, 	29.8, 	15.942396306703706
6, 	 70, 	 10, 	 4, 	 7, 	 12.4, 	 4.673328578219169, 	33, 	13.446189051177289
6, 	 70, 	 10, 	 5, 	 6, 	 16, 	 11.366617790706258, 	25, 	12.345039489608771
6, 	 70, 	 15, 	 1, 	 5, 	 16.8, 	 9.453041838477178, 	30.6, 	14.582180906846547
6, 	 70, 	 15, 	 2, 	 4, 	 8.4, 	 3.8262252939417984, 	15, 	7.014271166700073
6, 	 70, 	 15, 	 3, 	 7, 	 25.8, 	 19.903768487399567, 	34.4, 	13.484806264830059
6, 	 70, 	 15, 	 4, 	 3, 	 11.6, 	 5.607138307550474, 	19.8, 	8.818163074019441
6, 	 70, 	 15, 	 5, 	 12, 	 23, 	 8.318653737234168, 	35.6, 	10.480458005259122
6, 	 72, 	 5, 	 1, 	 6, 	 22.6, 	 17.995555006723187, 	43.4, 	10.461357464497617
6, 	 76, 	 5, 	 1, 	 5, 	 8.8, 	 2.315167380558045, 	31.8, 	14.606847709208171
6, 	 76, 	 5, 	 2, 	 3, 	 6.2, 	 2.1354156504062622, 	18.2, 	16.4851448279959
6, 	 76, 	 5, 	 3, 	 2, 	 12.8, 	 6.11228271597445, 	31.6, 	15.666524822052912
6, 	 76, 	 5, 	 4, 	 3, 	 16.8, 	 14.034243834279067, 	31.8, 	15.6
6, 	 76, 	 5, 	 5, 	 4, 	 7.2, 	 2.785677655436824, 	11.8, 	4.534313619501853
6, 	 76, 	 10, 	 1, 	 5, 	 21.8, 	 18.236227680087786, 	33.6, 	16.523922052587878
6, 	 76, 	 10, 	 2, 	 5, 	 8.6, 	 2.244994432064365, 	21.2, 	9.410632284814874
6, 	 76, 	 10, 	 3, 	 10, 	 19.8, 	 15.14463601411404, 	35.4, 	15.357083056361974
6, 	 76, 	 10, 	 4, 	 1, 	 9.4, 	 4.8, 	20.6, 	7.445804187594514
6, 	 76, 	 10, 	 5, 	 4, 	 11.2, 	 5.5641710972974225, 	16.4, 	5.238320341483518
6, 	 76, 	 15, 	 1, 	 7, 	 9.6, 	 2.8, 	16.6, 	2.939387691339814
6, 	 76, 	 15, 	 2, 	 6, 	 10.2, 	 4.621688003316537, 	25.8, 	13.044539087296261
6, 	 76, 	 15, 	 3, 	 6, 	 22, 	 12.37739875741264, 	36.8, 	16.363373735266208
6, 	 76, 	 15, 	 4, 	 7, 	 20.2, 	 12.188519188154071, 	29.4, 	14.691494137765567
6, 	 76, 	 15, 	 5, 	 6, 	 13, 	 6.387487769068525, 	19.6, 	5.2
6, 	 82, 	 5, 	 1, 	 8, 	 22.2, 	 15.184202316881846, 	43.6, 	8.5463442476886
6, 	 82, 	 5, 	 2, 	 4, 	 10, 	 7.563068160475615, 	23.2, 	15.380507143784303
6, 	 82, 	 5, 	 3, 	 4, 	 14, 	 6.841052550594828, 	31.2, 	17.88183435780569
6, 	 82, 	 5, 	 4, 	 6, 	 10.4, 	 2.4166091947189146, 	17.6, 	11.429785649783637
6, 	 82, 	 5, 	 5, 	 5, 	 16, 	 9.055385138137417, 	37.2, 	14.958609561052123
